Algorithm,Input,Time
fibonacci,0,0.03261799999999937
fibonacci,1,0.000793000000001598
fibonacci,2,0.0010000000000047748
fibonacci,3,0.0008189999999927977
fibonacci,4,0.005040000000008149
fibonacci,5,0.0017220000000008895
fibonacci,6,0.0016480000000029804
fibonacci,7,0.003162000000003218
fibonacci,8,0.003200000000006753
fibonacci,9,0.0047190000000085774
fibonacci,10,0.007076999999995337
fibonacci,11,0.012003000000007091
fibonacci,12,0.017736999999996783
fibonacci,13,0.02792999999999779
fibonacci,14,0.26853099999999586
fibonacci,15,0.03583100000000172
fibonacci,16,0.05714500000000555
fibonacci,17,0.08959799999999518
fibonacci,18,0.14298500000001013
fibonacci,19,0.23954600000000426
fibonacci,20,0.3325140000000033
fibonacci,21,0.14871399999999824
fibonacci,22,0.24031399999999792
fibonacci,23,0.3959289999999953
fibonacci,24,0.6286989999999975
fibonacci,25,1.0209619999999973
fibonacci,26,1.6535659999999979
fibonacci,27,2.671728999999999
fibonacci,28,4.338922999999994
fibonacci,29,6.992101000000005
fibonacci,30,11.308611999999997
fibonacci,31,18.300651000000016
fibonacci,32,29.610437999999988
fibonacci,33,47.97038500000002
fibonacci,34,77.62061500000002
fibonacci,35,125.46859599999999
fibonacci,36,203.16767699999997
fibonacci,37,331.2141710000001
fibonacci,38,532.0757899999999
fibonacci,39,860.5598990000001
fibonacci,40,1392.680672
fibonacci,41,2252.4212939999998
fibonacci,42,3650.190179
fibonacci,43,5899.588493000001
fibonacci,44,9550.871268
fibonacci,45,15481.063555999997
fibonacci,46,24978.06828
fibonacci,47,41505.539877
