Algorithm,Input,Time
fibonacci,0,0.025082000000011817
fibonacci,1,0.0007200000000011642
fibonacci,2,0.0010869999999982838
fibonacci,3,0.0008070000000088839
fibonacci,4,0.005204000000006204
fibonacci,5,0.0017089999999910788
fibonacci,6,0.0015559999999936736
fibonacci,7,0.00688299999998776
fibonacci,8,0.0032209999999963657
fibonacci,9,0.004606000000009658
fibonacci,10,0.0073330000000026985
fibonacci,11,0.01215299999999786
fibonacci,12,0.017465000000001396
fibonacci,13,0.02818600000000515
fibonacci,14,0.2739989999999892
fibonacci,15,0.036524999999997476
fibonacci,16,0.05507199999999557
fibonacci,17,0.08980600000001004
fibonacci,18,0.14073600000000397
fibonacci,19,0.2292190000000005
fibonacci,20,0.3543419999999884
fibonacci,21,0.14898599999999362
fibonacci,22,0.2406560000000013
fibonacci,23,0.38911999999999125
fibonacci,24,0.6369219999999984
fibonacci,25,1.0221009999999922
fibonacci,26,1.6542380000000065
fibonacci,27,2.6758839999999964
fibonacci,28,4.33211
fibonacci,29,6.998291999999992
fibonacci,30,11.323785999999998
fibonacci,31,18.317788000000007
fibonacci,32,29.64156
fibonacci,33,47.960544999999996
fibonacci,34,77.50739299999998
fibonacci,35,125.42677700000002
fibonacci,36,203.27260899999993
fibonacci,37,328.3483130000001
fibonacci,38,531.715877
fibonacci,39,861.037112
fibonacci,40,1392.4230770000004
fibonacci,41,2253.2882630000004
fibonacci,42,3643.8424920000007
fibonacci,43,5894.166466999999
fibonacci,44,9536.669581999999
fibonacci,45,15508.225005000004
fibonacci,46,24971.860601
fibonacci,47,40460.34070999999
