Algorithm,Input,Time,Date
linearSearch,10000000,4.422153000000009,20250711T0552
linearSearch,50000000,21.442412999999988,20250711T0552
linearSearch,100000000,38.23475999999994,20250711T0552
linearSearch,200000000,76.17428900000004,20250711T0552
linearSearch,300000000,113.91331500000001,20250711T0552
linearSearch,400000000,151.7524800000001,20250711T0552
linearSearch,500000000,189.7431140000008,20250711T0552
linearSearch,600000000,227.64305400000012,20250711T0552
linearSearch,700000000,266.1046810000007,20250711T0552
linearSearch,800000000,303.2594969999991,20250711T0552
linearSearch,900000000,341.18974999999955,20250711T0552
linearSearch,1000000000,379.26682900000014,20250711T0552
linearSearch,10000000,3.952619999999996,20250711T0553
linearSearch,50000000,19.808329000000015,20250711T0553
linearSearch,100000000,38.616630999999984,20250711T0553
linearSearch,200000000,76.47350500000016,20250711T0553
linearSearch,300000000,114.20187400000032,20250711T0553
linearSearch,400000000,153.27130499999976,20250711T0553
linearSearch,500000000,192.05431600000065,20250711T0553
linearSearch,600000000,229.58390599999984,20250711T0553
linearSearch,700000000,267.40326599999935,20250711T0553
linearSearch,800000000,306.1649890000008,20250711T0553
linearSearch,900000000,339.9752100000005,20250711T0553
linearSearch,1000000000,378.3000659999998,20250711T0553
linearSearch,10000000,3.857337000000001,20250711T0553
linearSearch,50000000,19.27248800000001,20250711T0553
linearSearch,100000000,38.998083000000065,20250711T0553
linearSearch,200000000,76.51542599999993,20250711T0553
linearSearch,300000000,113.69976300000008,20250711T0553
linearSearch,400000000,151.62327300000015,20250711T0553
linearSearch,500000000,189.30343100000027,20250711T0553
linearSearch,600000000,227.08072600000014,20250711T0553
linearSearch,700000000,265.2415179999989,20250711T0553
linearSearch,800000000,303.0500410000004,20250711T0553
linearSearch,900000000,340.9965650000013,20250711T0553
linearSearch,1000000000,411.768122999998,20250711T0553
linearSearch,10000000,3.9845909999999947,20250712T0728
linearSearch,50000000,19.217159000000038,20250712T0728
linearSearch,100000000,38.09135600000002,20250712T0728
linearSearch,200000000,76.46032799999989,20250712T0728
linearSearch,300000000,113.47637999999984,20250712T0728
linearSearch,400000000,151.34809300000006,20250712T0728
linearSearch,500000000,189.09105,20250712T0728
linearSearch,600000000,226.7788099999998,20250712T0728
linearSearch,700000000,265.029595,20250712T0728
linearSearch,800000000,302.1601730000002,20250712T0728
linearSearch,900000000,339.8999530000001,20250712T0728
linearSearch,1000000000,377.69170400000075,20250712T0728
linearSearch,10000000,4.042440999999997,20250712T0728
linearSearch,50000000,19.206728,20250712T0728
linearSearch,100000000,38.91518400000007,20250712T0728
linearSearch,200000000,75.91505900000016,20250712T0728
linearSearch,300000000,113.54131899999993,20250712T0728
linearSearch,400000000,151.291291,20250712T0728
linearSearch,500000000,188.91197099999954,20250712T0728
linearSearch,600000000,226.65394099999958,20250712T0728
linearSearch,700000000,264.4544440000009,20250712T0728
linearSearch,800000000,302.1505649999999,20250712T0728
linearSearch,900000000,340.0430930000002,20250712T0728
